Common Name,Guild,Specific Epithet,Diet
Indian Robin,Insectivore,Copsychus fulicatus,"Insects (including termites, ants, beetles, flies, caterpillars, grasshoppers, bees and wasps) and their eggs, spiders; marked preference for termites. One record of gecko being struck from wall, battered and eaten, and one (same area) of small frog being caught, battered (8 minutes) and fed to young; probably same bird involved. Recorded feeding on a carcass  . Forages largely on ground, darting about with agile hopping gait and moving from spot to spot in short jerky flight, occasionally entering clumps of herbs or thorn bush, sometimes flipping over small stones and leaves with bill; very little aerial sallying. When feeding young, foraging behaviour includes use of wings and tail in attempts to flush insects."
Turtle Dove,Grainivore,Streptopelia orientalis,"Raids paddyfields, and also feeds  on cereals and pine seeds; also herbs, bamboo shoots and green shoots of various plants. In former USSR, observed plucking berries from Prunus trees; indeed opportunistic frugivory is widely reported (7). Takes sunflower seeds in sunflower fields in Japan (8). Recorded also feeding on small snails  . Most feeding  is on the ground. "
White Wagtail,Insectivore,Motacilla alba,"Stomachs of wintering birds in the pre-Saharan steppe of Tunisia contained mostly beetles, followed by caterpillars, ants, tenebrionid beetles, and weevils (Coleoptera); also contained 1–5 stones. One stomach had many leaf fragments (Heatwole and Muir 1982). M. a. lugens (""Black-backed"" Wagtail) in southern Ussuriland consumed small Diptera during spring and summer, and consumed large caddisfly larvae, mayflies, amphipods (Gammarus), and water scorpions (Nepidae) during fall migration (Panov 1973). On Kuril Islands, in 12 stomachs: Diptera (adults and pupae); Aphrophoridae; earwigs (Dermaptera); beetles (Coleoptera) including Elateridae, Chrysomelidae, Staphylinidae, and small Melolonthinae; bugs (Hemiptera); Sipha subrugosa; hill ants (Formica rufa); Ichneomonidae; caterpillars (Lepidoptera); spiders (Araneae); small seeds; and sand particles (Nechaev 1969).  Also known to eat dragonflies (Odonata), termites (Isoptera), small snails (Mollusca), crustaceans, and worms (Annelida), as well as fish fry; crumbs and other household scraps also taken. Observed to take fly maggots from carcasses."
White Rumped Vulture,Carnivore,Gyps bengalensis,"Exclusively carrion, especially remains of cattle  . Regularly feeds in company of other vultures  , especially G. indicus, and also other scavengers, e.g. jackals, corvids and dogs. Carrion located by means of keen eyesight; soaring vultures also watch other flying vultures and other scavengers; when one drops to carcass, all birds in sight follow suit, and many can gather in short time. As with other vulture species, the birds tend to gorge themselves, then rest for long period nearby, on ground or tree, while food is digested."
Crested Serpent Eagle,Carnivore,Spilornis cheela,"Feeds mainly on reptiles, especially tree snakes  ; less commonly on mammals, crabs, eels, frogs and birds. Recent study in India documented 173 prey items: 74% reptiles, 18% birds, 7% amphibians and 0·5% each fishes and mammals 12. Another study in India recorded predation on termites 13, and in Peninsular Malaysia has been observed hunting large earthworms 14. Hunts almost exclusively from exposed perch near open glade or along stream or forest edge; when foraging remains still for long periods while scanning for suitable prey items. Prey taken on ground  or from trees, after short stoop, and consumed on ground or on elevated perch  ."
Purple Moorhen,Carnivore,Porphyrio porphyrio,"Omnivorous, but primarily vegetarian, taking shoots, leaves, roots, stems, flowers and seeds of aquatic and semi-aquatic plants. Principal food items include Typha (especially leaf bases and pith), Scirpus (pith from stems), young rice plants, seeds of grasses, sedges, Rumex, Polygonum, etc., and vegetative parts (especially tubers) of water-lilies. Animal foods normally small proportion of diet, including molluscs, leeches, small crabs, insects and their larvae, spiders, fish and their eggs, frogs and their eggs, lizards, snakes, birds, their eggs and nestlings, small rodents, and carrion. Forages in cover, at edge of cover on muddy, sandy or hard shoreline, in shallow water and on floating vegetation. Swims relatively little, but will dabble near shallow margins like Mallard (Anas platyrhynchos) or pick insects from water surface. Also recorded feeding on insects taken from spiders webs  . Climbs freely to strip flowers and seeds from reeds, etc., and to take bird eggs and nestlings. Uses bill to cut, dig up or pull out plants, to move stones and gravel, to turn over matted vegetation, and to dismember food items, and foot to grasp and manipulate food. Adaptable: will forage in pasture, scrub and mown fields; grazes clover and grass; also feeds in rice fields. Builds platforms for feeding and roosting. Feeds mainly in early morning and late evening; sometimes at night."
Painted Francolin,Grainivore,Francolinus pictus,"Seeds of grasses, weeds and cereals, and fresh grass and cereal shoots, berries and drupes, such as Zizyphus; also termites and other insects and their larvae and eggs. Usually observed in pairs or small family parties."
Spotted Dove,Grainivore,Streptopelia chinensis,"Seeds and berries dominate the diet. Berries of ukiuki (Dianella sandwicense) are important in Hawaiian Is. (Richardson and Bowles 1964), as are those of passionflower (including banana poka [Passiflora mollissima]; Scott et al. 1986). Other common food items in Hawaiian Is. include seeds, fruits, or berries of pöpolo (Solanum spp.), 'äkia (Wikstroemia spp.), 'uhaloa (Waltheria indica), 'ilima (Sida spp.), lantana (Lantana camara), balsam pear (Momordica charantia), corn sorghum (Sorghum spp.), and pigeon pea (Cajanus cajan; Schwartz and Schwartz Schwartz and Schwartz 1949, Schwartz and Schwartz 1951a; current plant names from Wagner et al. 1990); large seeds preferred, representing both native and exotic plant species. Routinely takes commercial bird seed at feeders in Hawaiian Is. and s. California. Few data on diet away from feeders in s. California. In its native range, known to feed on Ficus platypoda (Lepschi 1997) and the berries of Berberis ceratophylla. Sometimes takes insects, e.g. winged termites (Sivakumaran and Rahmani 2005)."
Long Tailed Shrike,Carnivore,Lanius schach,"Very opportunistic. Wide variety of insects, with preference mostly for larger species  and groups, e.g. grasshoppers and crickets (Orthoptera) and beetles (Coleoptera); also, regularly takes vertebrates such as small mammals, lizards  , frogs, crabs and small birds  , including nestlings up to size of Laughing Dove (Spilopelia senegalensis). Comparatively bold and fearless. Hunts from prominent perch  ; takes most of its prey  on ground, but also hawks insects in air; hops on ground. Occasionally steals food from other birds. Impales some of its victims."
Jungle Babler,Insectivore,Turdoides striata,"Wide range of invertebrates, mainly insects, including hymenopterans (ants, wasps, ichneumon flies), beetles (Coleoptera), grasshoppers and crickets (Orthoptera), cockroaches (Blattodea), caterpillars, moths (Lepidoptera), mantises (Mantodea), stick-insects (Phasmida), bugs (Hemiptera), also spiders (Araneae); also frogs; also grain, seeds, figs (Ficus), berries (including those of Lantana and Ziziphus), and nectar of Salmalia, Butea, Erythrina and Helicteres isora. In one study, plant matter accounted for 56% of diet by weight, involving pulp of fruit, pearl millet, wheat and leafy material; remaining food was lepidopterans (18%), hymenopterans (6%), orthopterans (6%), beetles (4%), snails and spiders (less then 1%), with remaining 10% unidentified. In another study, 22% of total food by volume was insects (mostly beetles), 74% bajra grain (Pennisetum typhoides), 4% other vegetable material. Very gregarious, in parties of 6–12 individuals throughout year; large flocks break up into smaller groups during breeding season. Often forms nucleus of mixed-species foraging parties. Occasionally associates with T. affinis. Spends much time on ground  ."
Brown Headed Barbet,Frugivore,Psilopogon zeylanicus,"Feeds on fruits  , especially figs  , Syzygium fruits, and berries, including those of coffee, and also tomatoes and garden fruits; takes flower petals and nectar of Bombax, Erythrina and Butea; also takes animal food including beetles, mantids, ants, termites, and various large and small lizards. In one study in WC India, present species appeared to prefer much larger fig species (Ficus bengalensis, F. mysorensis) than did P. haemacephalus. May gather with other barbets and frugivorous birds. Often bathes."
House Crow,Omnivore,Corvus splendens,"Omnivorous scavenger, feeding on all manner of crops, invertebrates  , vertebrates  . Main diet composed of discards and scraps foraged from rubbish dumps, abattoirs and street debris, also street markets and in fishing villages. Eats  almost anything, from all kinds of places, ranging from foraging in flowering trees (for nectar) to scavenging for offal; feeds on carrion  of all kinds, from dead fish to human corpses on tideline or riverside. Will take fish and insects from water, almost plunge-diving to do so, and undertakes ungainly aerial sallies to take flying ants (Formicidae). Takes eggs and nestlings of many bird species, including larger ones such as herons and egrets (Ardeidae), where it can cause havoc in nesting colonies; likewise with colonies of weavers (Ploceidae), where this crow's agility allows it to gain access to nest-chambers. Attracted to livestock, feeding among feet of cattle, where it steals food items from attendant Cattle Egrets (Bubulcus ibis); also rides on backs and necks of large mammals, not only taking ticks (Ixodoidea) and other parasites, but also pecking at open sores. Kills small rodents  , and reports of attacks even on human babies, monkeys and cats; kills newborn domestic animals. Does great damage to crops, pulling up seedlings by roots and taking grain and rice from stores. Enters houses to scavenge food. Bold and aggressive by nature, with sociable scavenging habits, but also very wary of humans, in Egypt feeding mostly very early in mornings, spending most of the day at rest, hidden in tree or palm foliage (thus avoiding close contact with man); in most of range, however, displays little fear of man. Always alert, and constantly wary, nervously wing-flicking as it walks or hops on ground. Forms massive roosts  , gathering on rooftops in noisy parties prior to flying off towards main roost, where hundreds or thousands may converge, together with large numbers of parakeets (Psittacidae) and mynas (Sturnidae) in plantations or mangroves; just before dawn, flies back to favoured foraging grounds."
Quaker Babler,Omnivore,Alcippe poioicephala,"Ants and other insects; also nectar, particularly of Erythrina. Usually found in parties of 6–10 individuals, sometimes up to 20 or more. Forages in middle storey and undergrowth but also ascends to canopy; often 9 m above ground. Often forms nucleus of mixed-species feeding flocks."
Purple Sunbird,Omnivore,Cinnyris asiaticus,"Small insects  , and spiders (Araneae); nectar  , also fruits, particularly of mistletoes (Loranthaceae) but also grapes. Forages singly, in pairs and in small to medium-sized groups; larger groups (up to 200 individuals) observed in non-breeding season. Visits flowers of aloes (Aloe), Avicenna marina, Calotropis procera, Lycium, Prosopis cineracea, Prosopis juliflora and Maerua crassifolia."
Green Bee Eater,Insectivore,Merops orientalis,"Feeds mainly on Hymenoptera  , also beetles, termites, bugs, moths and many flies, ranging in size from fruit-flies (Drosophila) to large clegs; also a few butterflies, crickets, dragonflies, spiders and caterpillars. In Chad, Hymenoptera (of 50 species) comprise 75% of diet, including many ants, as well as small halictine bees, ichneumon flies, chalcidid, scolioid, vespid, pompilid and sphecid wasps and some honeybees (Apis mellifera), but also beetles (17%), termites, assassin-, squash- and shield-bugs, micro-Lepidoptera, fruit-flies, clegs and robber-flies (cumulatively 8%) (1). Hunts from perch on fence, small thorny tree  or sometimes the back of antelope, making sallies low over vegetation."
Pallid Harrier,Carnivore,Circus macrourus,"Small mammals  and birds  and, especially in winter quarters, large insects. Takes advantage of demographic explosions of rodents  , feeding on voles, mice, gerbils, steppe lemmings (Lagurus lagurus) and ground-squirrels; birds, particularly small terrestrial passerines e.g. larks and pipits, and also partridge chicks, can be of greater importance in diet. Insects include grasshoppers and locusts, and to lesser degree beetles, crickets, dragonflies and others. Reptiles and frogs taken less often, although lizards (Lacerta) common in areas of sand dunes in Pakistan. Flies low  , 1–5 m above ground, into wind, dropping on to small prey spotted on ground; spends large part of day in hunting. Captures insects fleeing from grass fires. In study of wintering individuals in N Cameroon, four strategies were employed to capture birds, i.e. fast contour flight, open approach with rapid acceleration, covert ambush, and stoop from flight; success of 149 capture attempts (by 47 harriers) was 18·8%, but differed with strategy used, the ambush and open-approach strategies being more successful than fast contour flight; most commonly targeted and captured bird species was Red-billed Quelea (Quelea quelea ) (11)."
Grey Jungle Fowl,Omnivore,Gallus sonneratii,"Diverse diet, including seeds of bamboo and Strobilanthes among others, shoots of grass and crops, tubers, figs and berries of Zizyphus (Rhamnaceae), Lantana, Streblus (Moraceae), etc. Animals eaten include insects (e.g. grasshoppers and termites) and even small reptiles. In Tamil Nadu, diet constituted 55%, 31·1% and 13·9% of plant matter, animal matter and grit, respectively, based on analysis of droppings (4). Often pecks at dung of cattle, elephants, etc. (1). Appears to forage close to cover and in same area during successive days, presumably responding to local distribution of food supplies; sometimes recorded in groups  of 5–6 birds, but large numbers congregate where food is seasonally abundant, e.g. seeding bamboo (1)."
Indian Blackbird,Omnivore,Turdus simillimus,"Invertebrates and fruits of forest. Forages  on ground  , where seen to peck at dung beside forest track; also feeds in fruiting and flowering  trees."
Shikra,Carnivore,Accipiter badius,"Mainly lizards  , geckos, skinks (2) and small birds (9–22 g) up to size of exotic Budgerigar (Melopsittacus undulatus) (10), bee-eaters  (Merops), rollers (Coracias/Eurystomus), even small gamebirds (2) and African Palm Swifts (Cypsiurus parvus) as they leave their nests (18); also nestlings (e.g. sparrow chicks from roof (2) ), eggs, gerbils (19), bats, rodents (e.g. Microtus voles (20) and Meriones gerbils) (19), frogs and insects (beetles, termites and Orthopterans (2) ), rarely carrion, and seen chasing domestic chickens (14). Hunts mainly from a perch  within vegetation, making a short dash to take prey on a trunk  , in foliage or on ground, occasionally even briefly entering buildings (2). Rarely makes aerial pursuits, preferring to use cover to make short surprise attacks (2), but generally forceful in attacks on prey. Changes perch with low flap and glide flight."
Grey Breasted Prinia,Insectivore,Prinia hodgsonii,"Food basically insects, including small beetles (Coleoptera), small moths and caterpillars (Lepidoptera) and grasshoppers (Orthoptera). Said to take nectar of various trees and shrubs (including Butea, Erythrina, Bombax and Woodfordia), as birds often have pollen-stained face, but this perhaps more likely acquired when searching flowers for insects. In non-breeding season usually in parties of 5–10 individuals, sometimes as many as 20, but in breeding season invariably found in ones and twos. Very active, working twigs and leaves both in low undergrowth and quite high up; flits between bushes, moving quickly through shrubbery. Often forages with mixed parties of small birds, such as various small babblers (Timaliidae)."
Ashy Wren Warbler,Insectivore,Prinia socialis,"Small invertebrates, chiefly insects and their larvae, and small spiders (Araneae); believed also to take flower nectar from Bombax and Erythrina and other shrubs, but pollen staining of head perhaps acquired when searching flowers for insects. Usually singly or in pairs. Although not shy, is generally unobtrusive, keeping low in vegetation. Forages close to ground  , climbing up stalks or inside bushes, gleaning insects from both leaves and ground. Flies weakly, keeping low, for a few metres before diving back into cover."
Roseringed Parakeet,Frugivore,Psittacula krameri,"In Africa, recorded fruits  include Ficus, Ziziphus, Tamarindus, guavas, dates, mangoes, baobab, seeds of Acacia albida and Slassus, plus cultivated seeds and nuts of millet, sorghum, lentils, guinea-corn, groundnuts, oil-palms, coffee. In Asia, specific items identified include seeds of Prosopis spicigera, Acacia arabica, Casuarina equisetifolia, fruit of Dalbergia sissoo, Ficus, Acacia, Ziziphus, Xanthium, Melia azedarach, Azadirachta indica and Albizia lebbek, flowers and fruit of Capparis aphylla, flower petals and nectar of Salmalia malabarica, Erythrina indica, Butea monosperma, Bassia latifolia. In Asia, especially India  , regarded as one of the most destructive bird pests in agriculture  , coming in enormous flocks to cereals and fruit crops, especially Citrus and Prunus; however, in one area, guavas (Psidium guajava) were the favoured cultivated fruit, with maize eaten Sept–Dec, groundnuts Nov–Mar and May–Jun, and wheat Mar; in another, pearl millet, sorghum and maize were greatly consumed Aug–Dec, guava Jan–Mar and Jul–Aug, mulberry (Morus alba) seeds Apr–May. Coffee, chillie, sunflowers, mustard, pepper and gram also attacked; will tear open sacks. Feral birds in UK take fruits and berries of Rosaceae, Ilex, Sambucus, nuts of Fagus, Aesculus, Carpinus, Fraxinus, Pinus, cultivated fruit and cereals, food at bird-tables; feral birds in Arabia take dates, grain, seeds of sunflower and Caesalpina."
