,Date,Transect,Taxa,Species,Abundance,Distance.Footsteps,Encounter.Time,Habitat,Start.Time,End.Time,Weather,Detection,Guild,Sex,Activity,Photo.Audio.No.,Remarks
45,20-01-1999,T1A,Birds,Red Whiskered Bulbul,1,NA,10:23,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
46,20-01-1999,T1A,Birds,Green Bee Eater,1,NA,10:24,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
47,20-01-1999,T1A,Birds,Pallid Harrier,1,NA,10:25,Human Habitation and Farmland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
48,20-01-1999,T1A,Birds,Green Bee Eater,1,NA,10:28,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
49,20-01-1999,T1B,Birds,Green Bee Eater,1,NA,10:33,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
50,20-01-1999,T1B,Birds,Brown Headed Barbet,1,NA,10:35,Scrubland and Grassland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
51,20-01-1999,T1B,Birds,Painted Francolin,1,NA,10:35,Scrubland and Grassland,NA,NA,NA,NA,Grainivore,NA,NA,NA,NA
52,20-01-1999,T1B,Birds,Red Whiskered Bulbul,1,NA,10:41,Scrubland and Grassland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
53,20-01-1999,T1B,Birds,Purple Sunbird,1,NA,10:45,Scrubland and Grassland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
54,20-01-1999,T1B,Birds,Jungle Babler,1,NA,10:47,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
55,20-01-1999,T1B,Birds,Indian Robin,1,NA,10:50,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
56,02-03-1999,T1A,Birds,Purple Sunbird,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
57,02-03-1999,T1A,Birds,Red Vented Bulbul,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
58,02-03-1999,T1A,Birds,Red Vented Bulbul,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
59,02-03-1999,T1A,Birds,Purple Sunbird,2,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
60,02-03-1999,T1A,Birds,Brown Headed Barbet,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
61,02-03-1999,T1A,Birds,Spotted Dove,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Grainivore,NA,NA,NA,NA
62,02-03-1999,T1A,Birds,Purple Sunbird,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
63,02-03-1999,T1A,Birds,Grey Jungle Fowl,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
64,02-03-1999,T1A,Birds,Purple Sunbird,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
65,02-03-1999,T1A,Birds,Indian Blackbird,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
66,02-03-1999,T1B,Birds,Green Bee Eater,2,NA,,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
67,02-03-1999,T1B,Birds,Shikra,2,NA,,Scrubland and Grassland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
68,02-03-1999,T1B,Birds,Black Drongo,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
69,02-03-1999,T1B,Birds,Brown Headed Barbet,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
70,02-03-1999,T1B,Birds,Grey Breasted Prinia,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
71,02-03-1999,T1B,Birds,Ashy Wren Warbler,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
72,02-03-1999,T1B,Birds,Black Drongo,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
73,02-03-1999,T1B,Birds,Quaker Babler,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
74,02-03-1999,T1B,Birds,Roseringed Parakeet,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
75,11-04-1999,T1A,Birds,Purple Sunbird,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
76,11-04-1999,T1A,Birds,Brown Headed Barbet,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
77,11-04-1999,T1A,Birds,Red Whiskered Bulbul,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
78,11-04-1999,T1A,Birds,Grey Jungle Fowl,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
79,11-04-1999,T1A,Birds,Pale Billed Flowepecker,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
80,11-04-1999,T1A,Birds,Spotted Dove,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Grainivore,NA,NA,NA,NA
81,11-04-1999,T1A,Birds,Indian Blackbird,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
82,11-04-1999,T1A,Birds,Red Whiskered Bulbul,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
83,11-04-1999,T1B,Birds,Pied Bushchat,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
84,11-04-1999,T1B,Birds,Green Bee Eater,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
85,11-04-1999,T1B,Birds,Indian Robin,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
86,11-04-1999,T1B,Birds,Pied Bushchat,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
87,11-04-1999,T1B,Birds,Long Tailed Shrike,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
88,11-04-1999,T1B,Birds,Red Whiskered Bulbul,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
89,16-05-1999,T1A,Birds,Indian Blackbird,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
90,16-05-1999,T1A,Birds,Red Vented Bulbul,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
91,16-05-1999,T1A,Birds,Laughing Dove,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Grainivore,NA,NA,NA,NA
92,16-05-1999,T1A,Birds,Jungle Babler,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
93,16-05-1999,T1A,Birds,Brown Headed Barbet,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
94,16-05-1999,T1A,Birds,Green Bee Eater,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
95,16-05-1999,T1A,Birds,Purple Sunbird,3,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
96,16-05-1999,T1A,Birds,Red Vented Bulbul,2,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
97,16-05-1999,T1A,Birds,Green Bee Eater,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
98,16-05-1999,T1B,Birds,Brown Headed Barbet,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
99,16-05-1999,T1B,Birds,Common Iora,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
100,16-05-1999,T1B,Birds,Red Whiskered Bulbul,2,NA,,Scrubland and Grassland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
101,16-05-1999,T1B,Birds,Brown Headed Barbet,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
102,16-05-1999,T1B,Birds,Purple Sunbird,2,NA,,Scrubland and Grassland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
103,16-05-1999,T1B,Birds,Indian Blackbird,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
104,16-06-1999,T1A,Birds,Red Vented Bulbul,1,215,,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
105,16-06-1999,T1A,Birds,Common Iora,1,324,,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
106,16-06-1999,T1A,Birds,Turtle Dove,1,345,,Human Habitation and Farmland,NA,NA,NA,NA,Grainivore,NA,NA,NA,NA
107,16-06-1999,T1A,Birds,Purple Sunbird,1,385,,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
108,16-06-1999,T1A,Birds,Grey Wagtail,1,420,,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
109,16-06-1999,T1A,Birds,Yellow Wagtail,1,428,,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
110,16-06-1999,T1A,Birds,Red Vented Bulbul,2,428,,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
111,16-06-1999,T1A,Birds,Pied Bushchat,1,428,,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
112,16-06-1999,T1A,Birds,Brown Headed Barbet,1,428,,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
113,16-06-1999,T1A,Birds,Indian Robin,1,430,,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
114,16-06-1999,T1A,Birds,Common Iora,1,475,,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
115,16-06-1999,T1A,Birds,Turtle Dove,1,545,,Human Habitation and Farmland,NA,NA,NA,NA,Grainivore,NA,NA,NA,NA
116,16-06-1999,T1B,Birds,Red Wattled Lapwing,1,733,,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
117,16-06-1999,T1B,Birds,Jungle Crow,1,838,,Scrubland and Grassland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
118,03-10-1999,T1A,Birds,Long Tailed Shrike,1,5,07:45,Human Habitation and Farmland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
119,03-10-1999,T1A,Birds,Green Bee Eater,1,5,07:45,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
120,03-10-1999,T1A,Birds,Long Tailed Shrike,1,98,07:50,Human Habitation and Farmland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
121,03-10-1999,T1A,Birds,White Cheeked Barbet,1,100,07:50,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
122,03-10-1999,T1A,Birds,Indian Scimitar Babler,1,180,08:00,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
123,03-10-1999,T1A,Birds,?Yellow Sunbird,1,272,08:00,Human Habitation and Farmland,NA,NA,NA,NA,,NA,NA,NA,NA
124,03-10-1999,T1A,Birds,Blyth's Reed Warbler,1,282,08:05,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
125,03-10-1999,T1A,Birds,Red Whiskered Bulbul,1,282,08:05,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
126,03-10-1999,T1A,Birds,Purple Sunbird,3,331,08:10,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
127,03-10-1999,T1A,Birds,Blyth's Reed Warbler,1,367,08:15,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
128,03-10-1999,T1A,Birds,Purple Sunbird,1,367,08:15,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
129,03-10-1999,T1A,Birds,Jungle Babler,1,417,08:16,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
130,03-10-1999,T1A,Birds,Jungle Babler,1,431,08:20,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
131,03-10-1999,T1A,Birds,Long Tailed Shrike,1,440,08:21,Human Habitation and Farmland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
132,03-10-1999,T1A,Birds,Scarlet Minivet,1,527,08:25,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
133,03-10-1999,T1B,Birds,Long Tailed Shrike,1,700,08:30,Scrubland and Grassland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
134,03-10-1999,T1B,Birds,Pied Bushchat,2,870,08:40,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
135,03-10-1999,T1B,Birds,Malabar Crested lark,2,870,08:40,Scrubland and Grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,03-10-1999,T2,Birds,Pied Bushchat,2,0,07:45,Riparian,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
137,03-10-1999,T2,Birds,Common Kingfisher,1,0,07:50,Riparian,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
138,03-10-1999,T2,Birds,Long Tailed Shrike,1,0,07:50,Riparian,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
139,03-10-1999,T2,Birds,Long Tailed Shrike,1,0,07:50,Riparian,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
140,03-10-1999,T2,Birds,White Cheeked Barbet,1,0,07:55,Riparian,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
141,03-10-1999,T2,Birds,Red Vented Bulbul,1,100,08:00,Riparian,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
142,03-10-1999,T2,Birds,Blyth's Reed Warbler,1,100,08:00,Riparian,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
143,03-10-1999,T2,Birds,Long Tailed Shrike,1,100,08:00,Riparian,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
144,03-10-1999,T2,Birds,Pale Billed Flowepecker,1,100,08:05,Riparian,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
145,03-10-1999,T2,Birds,Koel,1,100,08:05,Riparian,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
146,03-10-1999,T2,Birds,Long Tailed Shrike,1,300,08:20,Riparian,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
147,03-10-1999,T2,Birds,Pale Billed Flowepecker,1,300,08:25,Riparian,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
148,03-10-1999,T2,Birds,Long Tailed Shrike,1,400,08:30,Riparian,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
149,03-10-1999,T2,Birds,Red Whiskered Bulbul,1,400,08:35,Riparian,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
150,03-10-1999,T2,Birds,Blyth's Reed Warbler,1,400,08:35,Riparian,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
151,03-10-1999,T2,Birds,Pale Billed Flowepecker,3,400,08:35,Riparian,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
152,03-10-1999,T2,Birds,Red Vented Bulbul,1,500,08:45,Riparian,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
153,03-10-1999,T2,Birds,Long Tailed Shrike,1,500,08:45,Riparian,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
154,27-12-1999,T4,Birds,"Robin, Magpie",2,NA,,Evergreen Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,27-12-1999,T4,Birds,White Breasted Kingfisher,1,NA,,Evergreen Forest,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
156,27-12-1999,T4,Birds,Purple Rumped Sunbird,1,NA,,Evergreen Forest,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
157,27-12-1999,T4,Birds,Leaf Warbler,1,NA,,Evergreen Forest,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
158,27-12-1999,T4,Birds,Pied Kingfisher,1,NA,,Evergreen Forest,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
159,27-12-1999,T4,Birds,Common Kingfisher,2,NA,,Evergreen Forest,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
160,27-12-1999,T4,Birds,Forest Wagtail,5,NA,,Evergreen Forest,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
161,27-12-1999,T4,Birds,Forest Wagtail,2,NA,,Evergreen Forest,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
162,27-12-1999,T4,Birds,Pied Bushchat,1,NA,,Evergreen Forest,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
163,27-12-1999,T4,Birds,Dusky Crag Martin,1,NA,,Evergreen Forest,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
164,27-12-1999,T4,Birds,Asian Paradise Flycatcher,1,NA,,Evergreen Forest,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
165,22-01-2000,T1A,Birds,Brown Headed Barbet,2,23,03:50,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
166,22-01-2000,T1A,Birds,Long Tailed Shrike,1,183,03:54,Human Habitation and Farmland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
167,22-01-2000,T1A,Birds,Indian Robin,1,320,04:01,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
168,22-01-2000,T1A,Birds,Indian Blackbird,1,554,04:04,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
169,22-01-2000,T1A,Birds,Green Bee Eater,1,582,04:05,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
170,22-01-2000,T1A,Birds,Brown Headed Barbet,1,582,04:05,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
171,22-01-2000,T1B,Birds,Brown Headed Barbet,1,630,04:06,Scrubland and Grassland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
172,22-01-2000,T1B,Birds,Red Whiskered Bulbul,2,630,04:06,Scrubland and Grassland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
173,22-01-2000,T1B,Birds,Turtle Dove,1,875,04:10,Scrubland and Grassland,NA,NA,NA,NA,Grainivore,NA,NA,NA,NA
174,22-01-2000,T1B,Birds,Brown Headed Barbet,1,928,04:11,Scrubland and Grassland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
175,22-01-2000,T1B,Birds,Long Tailed Shrike,1,980,04:12,Scrubland and Grassland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
176,22-01-2000,T1B,Birds,Jungle Babler,6,1090,04:14,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
177,22-01-2000,T2,Birds,Brown Headed Barbet,2,470,03:33,Riparian,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
178,22-01-2000,T2,Birds,Turtle Dove,1,510,03:34,Riparian,NA,NA,NA,NA,Grainivore,NA,NA,NA,NA
179,22-01-2000,T2,Birds,Yellow Browed Bulbul,1,586,03:35,Riparian,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
180,22-01-2000,T2,Birds,Jungle Babler,6,698,03:39,Riparian,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
181,22-01-2000,T2,Birds,Red Vented Bulbul,1,720,03:40,Riparian,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
182,22-01-2000,T2,Birds,Green Bee Eater,1,720,03:40,Riparian,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
183,13-02-2000,T2,Birds,Common Myna,1,3,08:48,Riparian,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
184,13-02-2000,T2,Birds,Ashy Wren Warbler,1,42,08:53,Riparian,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
185,13-02-2000,T2,Birds,Pied Bushchat,3,42,08:55,Riparian,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
186,13-02-2000,T2,Birds,Red Vented Bulbul,1,69,09:00,Riparian,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
